Nama SGB,Alamat,Jumlah Slot,Timestamp
Alfamart Damai V,"Jl. Damai V No.4, RT.2/RW.4, Cipete Utara, Kec. Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150",12,2025-06-06 21:32:51
Showroom Volta Bali,jl.pulau maluku II no. 2B.Denpasar Barat,12,2025-06-06 21:20:39
Alfamart Pangkalan 2 Cikiwul,"Jl. Pangkalan 2, RT.004/RW.002, Cikiwul, Kec. Bantar Gebang, Kota Bekasi, Jawa Barat 17152",8,2025-06-06 21:51:40
Alfamidi Pangkalan Jati (24 Jam),"Jl. Pangkalan Jati No.1, RT.1/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450",12,2025-06-06 21:47:24
Alfamart Pembangunan 2,"Jl. Pembangunan II Kel No.6, RT.9/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",12,2025-06-06 21:53:10
Alfamart Ciater Raya,"Jl. Ciater Raya No.88q, Ciater, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",12,2025-06-06 21:57:17
BC Semolis Jaktim,"Jl. Suci No.1, RT.10/RW.4, Kel. Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",12,2025-06-06 21:47:29
Alfamart Gandaria 4,"Jl. Gandaria 1 No.339, RT.5/RW.2, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",12,2025-06-06 21:29:58
SPBKLU ULP Bantargebang,"Jl. Jend. Ahmad Yani No. 14, Kota Bekasi, Jawa Barat",8,2025-06-06 21:40:56
Sentral Cargo Tangerang Ciledug,Jl. Raden Fatah No. 8 Ciledug Tangerang Banten,12,2025-06-06 21:46:59
Alfamart Cideng Barat (24 Jam),"JL. CIDENG BARAT NO. 70B KEL. CIDENG, KEC. GAMBIR JAKARTA PUSAT",12,2025-06-06 21:55:26
SPBU Cakung,"Jl. Raya Bekasi, RT.6/RW.5, Cakung Barat, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",12,2025-06-06 21:36:37
Alfamart Gading Serpong 4,"Jl.Kelapa Lilin 11 Blok DC, Curug Sangereng, Kelapa Dua, Kabupaten Tangerang, Banten 15810",12,2025-06-06 22:02:05
Alfamart Duri Kosambi 3,"Jl. Raya Duri Kosambi No.5, RT.5/RW.1, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",12,2025-06-06 22:06:16
Alfamart Kartika Plaza 2 ( Bali ),"Jl. Kartika Plaza No.90X, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:48
Alfamart Semolowaru Utara ( Surabaya ),"Jl. Semolowaru Utara V No. Kel, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119",12,2025-06-06 21:24:27
Harson Motor Surabaya ( Dealer Surabaya ),"jln Gentengkali no 164 RT 001/ RW 011 kel Alun-Alun Contong, kec Bubutan, Surabaya Pusat",12,2025-06-06 21:24:42
Alfamart Sidotopo Wetan ( Surabaya ),"Jl. Sidotopo Wetan Gg. I Luar No.55, Sidotopo Wetan, Kec. Kenjeran, Surabaya, Jawa Timur 60128",12,2025-06-06 21:24:12
Alfamart Uluwatu ( Bali ),"Jl. Raya Uluwatu No.56, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",12,2025-06-06 21:23:26
SPBKLU PLN UP3 Lenteng Agung,"Jl. Duren Tiga Raya No.88, RT.2/RW.001, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",8,2025-06-06 21:29:13
Alfamidi Pulo Gebang,"Jl. Jend. Ahmad Yani No. 14, Kota Bekasi, Jawa Barat",8,2025-06-06 21:41:51
SPBU Pramuka,"Jl. Pramuka No.13, RT.1/RW.2, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",12,2025-06-06 21:51:35
Alfamart Ruko Blossom (24 Jam),"Jl. Gor Pakansari No.43, Nanggewer Mekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16915",12,2025-06-06 22:08:50
Alfamart Daan Mogot Estate,"Jl Kapuk Ry No.8, Kel No.12, RT.3/RW.12, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
",12,2025-06-06 21:36:07
Alfamart Delima Raya,"Jl. Delima Raya No.183, RT.2 RW.5, Malaka Sari, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460",12,2025-06-06 21:36:32
Alfamart Caringin Sawangan,"Jl. Raya Sawangan No.36, RT.3 RW.5, Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16435",12,2025-06-06 22:01:09
Alfamart Raya Dharmawangsa ( Surabaya ),jl. Raya Dharmawangsa no.118 Surabaya,12,2025-06-06 21:24:37
Alfamart Tanah Kusir 2 (24 Jam),"Jl. Tanah Kusir II No.65, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",12,2025-06-06 21:34:41
Alfamart Pekayon,"Jl Raya Pekayon No. 36, RT.004/RW.001, Jaka Setia, Kec. Bekasi Selatan, Kota Bekasi, Jawa Barat 17147",12,2025-06-06 21:45:54
Alfamart Ketapang 2,"Jl. Kihajar Dewantoro 45-33, RT.006/RW.002, Cipondoh, Kec. Cipondoh, Kota Tangerang, Banten 15148",12,2025-06-06 21:46:39
SPBU Abdul Muis,"Jl. Abdul Muis No.59, RT.4/RW.3, Petojo Selatan, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",12,2025-06-06 21:55:36
Alfamart Krendang Utara 2,"Jl. Krendang Utara No.9A, RT.3/RW.8, Krendang, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11260",12,2025-06-06 21:53:15
